hash_type,transform,example_input,result_emojis,result,model_input,failed_inputs,errors
blake2b,dash,md5,💀💀💀✅,eeep,input/incoder/hash/125.txt,[],"[""name 'blake2b' is not defined"", ""name 'blake2b' is not defined"", ""name 'blake2b' is not defined""]"
blake2s,none,,💀💀💀✅,eeep,input/incoder/hash/126.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,Hello world,💀💀💀✅,eeep,input/incoder/hash/127.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/128.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,0,💀💀💀✅,eeep,input/incoder/hash/129.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,sha1,💀💀💀✅,eeep,input/incoder/hash/130.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,none,md5,💀💀💀✅,eeep,input/incoder/hash/131.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,,💀💀💀✅,eeep,input/incoder/hash/132.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,Hello world,💀💀💀✅,eeep,input/incoder/hash/133.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/134.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,0,💀💀💀✅,eeep,input/incoder/hash/135.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,uppercase,sha1,✅✅✅✅,pppp,input/incoder/hash/136.txt,[],[]
blake2s,uppercase,md5,💀💀💀✅,eeep,input/incoder/hash/137.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,,💀💀💀✅,eeep,input/incoder/hash/138.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,Hello world,💀💀💀✅,eeep,input/incoder/hash/139.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/140.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,0,💀💀💀✅,eeep,input/incoder/hash/141.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,sha1,💀💀💀✅,eeep,input/incoder/hash/142.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
blake2s,dash,md5,💀💀💀✅,eeep,input/incoder/hash/143.txt,[],"[""name 'blake2s' is not defined"", ""name 'blake2s' is not defined"", ""name 'blake2s' is not defined""]"
sha3_512,none,,💀💀💀✅,eeep,input/incoder/hash/144.txt,[],"[""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined""]"
sha3_512,none,Hello world,💀💀💀✅,eeep,input/incoder/hash/145.txt,[],"[""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined""]"
sha3_512,none,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/146.txt,[],"[""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined""]"
sha3_512,none,0,💀💀💀✅,eeep,input/incoder/hash/147.txt,[],"[""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined""]"
sha3_512,none,sha1,💀💀💀✅,eeep,input/incoder/hash/148.txt,[],"[""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined""]"
sha3_512,none,md5,✅✅✅✅,pppp,input/incoder/hash/149.txt,[],[]
sha3_512,uppercase,,💀💀💀✅,eeep,input/incoder/hash/150.txt,[],"[""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined""]"
sha3_512,uppercase,Hello world,✅✅✅✅,pppp,input/incoder/hash/151.txt,[],[]
sha3_512,uppercase,Hallo welt,💀💀💀✅,eeep,input/incoder/hash/152.txt,[],"[""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined"", ""name 'sha3_512' is not defined""]"
sha3_512,uppercase,0,✅✅✅✅,pppp,input/incoder/hash/153.txt,[],[]
